uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
astm_naam,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.astm_naam,collectie:parameter,ASTM_naam,"Grondsoort volgens ASTM, de beschrijving",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
atenolol,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.atenolol,collectie:parameter,atenolol,atenolol,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
atraton,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.atraton,collectie:parameter,atraton,atraton,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
atraz,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.atraz,collectie:parameter,Atraz,Atrazine,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
atr_des,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.atr_des,collectie:parameter,atr_des,Desethylatrazine,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
atr_desisoprop,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.atr_desisoprop,collectie:parameter,Atr_desisoprop,Desisopropylatrazine,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
au,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.au,collectie:parameter,Au,Goud,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
azinfos_ethyl,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.azinfos_ethyl,collectie:parameter,azinfos_ethyl,azinfos-ethyl,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
azinfos_methyl,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.azinfos_methyl,collectie:parameter,azinfos_methyl,azinfos-methyl,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
azoxystrobin,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.azoxystrobin,collectie:parameter,azoxystrobin,azoxystrobin,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
ba,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ba,collectie:parameter,Ba,Barium,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bam,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bam,collectie:parameter,BAM,"2,6-Dichlorobenzamide (BAM)",,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
